image,ctc_cer,attn_cer,ctc_cer_int8,attn_cer_int8,ctc_wer,attn_wer,ctc_wer_int8,attn_wer_int8,ctc_time,attn_time,ctc_time_int8,attn_time_int8
all_data/dataset/test/image_66325.jpg,0.014705882352941176,0.0,0.014705882352941176,0.0,0.1,0.0,0.1,0.0,0.7932853698730469,0.9442734718322754,0.8048961162567139,0.8491864204406738
all_data/dataset/test/image_82982.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010051250457764,0.9312036037445068,0.8205227851867676,0.9685032367706299
all_data/dataset/test/image_47219.jpg,0.0,0.013605442176870748,0.0,0.013605442176870748,0.0,0.045454545454545456,0.0,0.045454545454545456,0.7713091373443604,0.9504365921020508,0.764918327331543,0.9010839462280273
all_data/dataset/test/image_82536.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74324631690979,0.975123405456543,0.7816741466522217,0.8951635360717773
all_data/dataset/test/image_21817.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779242992401123,0.9023878574371338,0.8044719696044922,0.9895355701446533
all_data/dataset/test/image_86051.jpg,0.0,0.04878048780487805,0.0,0.024390243902439025,0.0,0.5,0.0,0.25,0.8185238838195801,1.0148067474365234,0.8104426860809326,0.9615368843078613
all_data/dataset/test/image_72494.jpg,0.025423728813559324,0.18220338983050846,0.025423728813559324,0.18220338983050846,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.34285714285714286,0.805138111114502,0.9102284908294678,0.7766537666320801,0.9242038726806641
all_data/dataset/test/image_22096.jpg,0.4007936507936508,0.4603174603174603,0.39285714285714285,0.49603174603174605,0.8571428571428571,0.8,0.8857142857142857,0.8,0.776726484298706,0.8722610473632812,0.7839045524597168,0.8627521991729736
all_data/dataset/test/image_07896.jpg,0.0055248618784530384,0.016574585635359115,0.0055248618784530384,0.016574585635359115,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.7569124698638916,0.8883495330810547,0.7501659393310547,0.8786108493804932
all_data/dataset/test/image_97234.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8270864486694336,0.8860800266265869,0.7594056129455566,0.934551477432251
all_data/dataset/test/image_11468.jpg,0.01098901098901099,0.027472527472527472,0.01098901098901099,0.027472527472527472,0.06451612903225806,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.8170115947723389,0.8863184452056885,0.7652833461761475,0.9027054309844971
