image,ctc_cer,attn_cer,easy_cer,ctc_wer,attn_wer,easy_wer,ctc_time,attn_time,easy_time
all_data/dataset/test/image_28045.jpg,0.0,0.0,0.07547169811320754,0.0,0.0,0.25,0.272385835647583,0.5790557861328125,2.3885960578918457
all_data/dataset/test/image_42609.jpg,0.0,0.0,0.24242424242424243,0.0,0.0,0.5714285714285714,0.2974543571472168,0.672292947769165,1.9331886768341064
all_data/dataset/test/image_34585.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.2776167392730713,0.6647975444793701,1.2904858589172363
all_data/dataset/test/image_85285.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.2936275005340576,0.6432638168334961,1.6544291973114014
all_data/dataset/test/image_42532.jpg,0.0,0.0,0.027522935779816515,0.0,0.0,0.1111111111111111,0.29503440856933594,0.5895285606384277,2.785696029663086
all_data/dataset/test/image_30126.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.2815282344818115,0.6246030330657959,1.3751347064971924
all_data/dataset/test/image_89382.jpg,0.0,0.017241379310344827,0.8275862068965517,0.0,0.1,0.8,0.29392409324645996,0.6177139282226562,2.625239133834839
all_data/dataset/test/image_09280.jpg,0.03508771929824561,0.14035087719298245,0.2412280701754386,0.17647058823529413,0.2647058823529412,0.6176470588235294,0.3684711456298828,0.652256965637207,6.541053771972656
all_data/dataset/test/image_16874.jpg,0.02054794520547945,0.0136986301369863,0.2534246575342466,0.11538461538461539,0.07692307692307693,0.6923076923076923,0.299971342086792,0.7863492965698242,5.629974126815796
all_data/dataset/test/image_26395.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.28635168075561523,0.6339702606201172,1.792947769165039
all_data/dataset/test/image_18479.jpg,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2969965934753418,0.6055111885070801,2.5201375484466553
all_data/dataset/test/image_87836.jpg,0.012269938650306749,0.012269938650306749,0.049079754601226995,0.038461538461538464,0.038461538461538464,0.3076923076923077,0.2928175926208496,0.5934851169586182,3.0296642780303955
all_data/dataset/test/image_76683.jpg,0.04954954954954955,0.14414414414414414,0.08558558558558559,0.2857142857142857,0.2,0.42857142857142855,0.29952120780944824,0.6073198318481445,2.939455032348633
all_data/dataset/test/image_98966.jpg,0.0,0.0,0.07142857142857142,0.0,0.0,1.0,0.345914363861084,0.589693546295166,1.4234917163848877
all_data/dataset/test/image_14982.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.29326486587524414,0.6127729415893555,1.4488131999969482
all_data/dataset/test/image_73598.jpg,0.6926406926406926,0.36796536796536794,0.7575757575757576,1.0,0.6571428571428571,1.0,0.2965846061706543,0.5599448680877686,10.687083959579468
all_data/dataset/test/image_75079.jpg,0.04081632653061224,0.04081632653061224,0.02040816326530612,0.2,0.2,0.2,0.2994508743286133,0.576514720916748,1.84922194480896
all_data/dataset/test/image_04296.jpg,0.013157894736842105,0.0,0.02631578947368421,0.09090909090909091,0.0,0.18181818181818182,0.30027103424072266,0.5888900756835938,1.7895736694335938
all_data/dataset/test/image_92369.jpg,0.0,0.0,0.07547169811320754,0.0,0.0,0.16666666666666666,0.26851749420166016,0.5621941089630127,1.4933116436004639
all_data/dataset/test/image_23998.jpg,0.014492753623188406,0.0,0.0,0.1,0.0,0.0,0.2583119869232178,0.5469436645507812,1.8384387493133545
all_data/dataset/test/image_51138.jpg,0.020833333333333332,0.036458333333333336,0.109375,0.10714285714285714,0.17857142857142858,0.32142857142857145,0.311276912689209,0.6267449855804443,4.220634698867798
all_data/dataset/test/image_20585.jpg,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.2664916515350342,0.5087528228759766,1.9608962535858154
all_data/dataset/test/image_99788.jpg,0.011627906976744186,0.011627906976744186,0.029069767441860465,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.25667738914489746,0.5676729679107666,2.8400368690490723
all_data/dataset/test/image_48840.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.2466602325439453,0.5647594928741455,1.310354471206665
