Model,Mean CER,Mean WER,Avg Inference Time (s)
BiLSTM_CTC,0.06662026797365717,0.174585216649716,0.2986516837890332
BiLSTM_Attn,0.07279159371689331,0.159033047365233,0.6252380380263696
EasyOCR,0.21378449550841708,0.41432349246278627,3.113284646318509
