epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.45,1.38975,0.78841,1.16608,0.91946,0.98021,0.97572,0.55793,1.40535,0.74924,1.26002,0.0011882,0.0011882,0.0011882
43,131.031,1.44993,0.75995,1.15181,0.93634,0.9697,0.97468,0.55286,1.44257,0.72079,1.25697,0.0011684,0.0011684,0.0011684
44,135.003,1.41576,0.73002,1.12754,0.94448,0.96465,0.97673,0.53647,1.4803,0.72479,1.22562,0.0011486,0.0011486,0.0011486
45,137.907,1.44139,0.72825,1.15797,0.93907,0.94949,0.97499,0.53578,1.44465,0.71874,1.19193,0.0011288,0.0011288,0.0011288
46,140.405,1.45664,0.7347,1.14187,0.93592,0.94444,0.97582,0.55251,1.41606,0.72541,1.19967,0.001109,0.001109,0.001109
47,142.894,1.40082,0.74653,1.12271,0.93912,0.93487,0.97258,0.54326,1.42504,0.73153,1.23744,0.0010892,0.0010892,0.0010892
48,145.365,1.38532,0.71239,1.12409,0.91734,0.95278,0.97344,0.53075,1.4655,0.72601,1.24885,0.0010694,0.0010694,0.0010694
49,147.861,1.3782,0.71495,1.11633,0.89117,0.92424,0.9397,0.4854,1.6412,0.78805,1.2549,0.0010496,0.0010496,0.0010496
50,150.358,1.40116,0.70538,1.11888,0.7996,0.80606,0.85333,0.39554,1.89296,0.97171,1.39881,0.0010298,0.0010298,0.0010298
51,152.832,1.39516,0.69605,1.1162,0.8324,0.93939,0.93024,0.46324,1.64148,0.82272,1.41561,0.00101,0.00101,0.00101
52,155.332,1.36195,0.69675,1.12975,0.90228,0.97924,0.96374,0.51346,1.49786,0.71861,1.30654,0.0009902,0.0009902,0.0009902
53,157.861,1.4643,0.75007,1.18359,0.96256,0.94949,0.97255,0.53925,1.47702,0.69148,1.2155,0.0009704,0.0009704,0.0009704
